Affiliate_id,Count,Name,Overall_percentile
445,1,Teodora Cvetkovic,72.8641
15424,8,Jessica Cotton,92.7208
6293,7,Stephanie Cook,96.9689
16126,20,Tanies Martinez,9.9616
11505,31,Melenie Natiw,9.9184
13743,13,Dani Maia,9.8011
6669,6,Tiffany Wheelock,91.0819
677,11,Erica Suy,94.7586
4137,5,Bernice Furagganan,86.461
19866,7,Lea Grotenrath,95.8961
2908,17,Amy Cash,99.3648
19291,1,Karina Morais,16.275
7832,3,Kim McLaughlin,96.3181
2267,14,Jenna Prieur,94.8449
6911,11,Christa Weigel,97.8544
17849,13,Jenica Ross,79.9249
9659,8,Charlotte Brandt,93.5779
16625,1,Jileane Rosado,73.6038
16480,2,Lena Nuetzel,93.1299
1516,8,Jenny Prasad,99.7747
16976,4,Carey Allison,91.4927
579,8,Kathryn Cowden,98.26
6862,1,Meghan McDevitt,63.9296
4946,2,Marloes van der Logt,34.0034
20394,13,Terri Stevenson,88.9855
12858,10,Mylene Massé,90.085
19400,3,Olga Lopez,78.1953
14553,13,Casey Westveer,90.4527
14271,6,Hege Jelsnes,82.1568
18820,2,Maria Włoch,97.8018
6687,1,Leydi Ortega,9.8606
5730,11,Gabrielle Trudeau,97.554
13643,4,Claire Mollard,95.7321
20621,10,Camille Joly,67.6831
16143,1,HwaJin Park,31.314
5175,10,Azusa Imai,81.5889
15948,6,Nusrat Khan,22.5064
20610,2,Mayne Kiss Guba,97.8087
6737,18,Eva Thornton,95.8011
7604,5,Amber Bost,88.4728
19008,2,Megan Russo,92.367
5372,31,Toya Nelson,99.307
15127,7,Jennifer Lord,94.573
17501,5,Leah Ryan,86.5119
15043,3,april brown,49.272
19975,6,Stefanie LeGrande,6.9676
17817,15,Sheree Elliott,9.6448
5389,4,Miriam Cziep,62.3933
7576,21,Emily Bridgers,99.9896
9135,30,Jessica Campbell,99.1525
2066,14,Mallory Siebuhr,96.4536
5088,23,Nicole Burke,99.5849
3133,20,Trisha Beauperthuy,97.3952
3360,2,Meghan Phillips,90.3655
1331,22,Kristin Huseman,92.19
13478,23,Dasha Stowe,96.5995
17587,8,Kimmi Hamilton,95.1892
18743,12,Traci Duncan,8.4771
18738,17,Thyla Huynh,84.1825
20911,1,Hannah Moore,95.7649
3199,9,Amie Francaviglia,6.1572
793,60,Whitney Heuser,99.9646
13774,3,Zoe Green,7.4872
9482,8,Jessica Billips,95.3653
13311,2,Trini Gracia,62.5236
5965,3,Krysten Farriella,60.3349
15081,6,Amanda Parks,78.3317
16776,7,Gabriela Perez Rivas,97.8794
6918,8,Madelaine Wichtrup,98.9168
5137,13,Jessica Schwartz,99.7955
18214,12,Scheila Meister,95.38
7990,2,Marcelle Sydow,92.2997
12778,10,Emeline Darmezin,93.3405
8219,30,Jacquelyn Cain,91.6541
1576,24,Michelle Cusack,89.316
3209,2,Jenna Gargano,5.7826
18392,13,Tiffany Myers,92.7847
18965,10,Alycia Hackemer-Loshaw,93.6297
13875,8,Mariah Ziegenbein,64.3438
15199,1,Iratxe Izurieta,82.6669
17086,2,Silvia Gonzalez Fañanas,77.1001
14024,3,Abigail Flaherty,96.4321
7338,43,Eilis MacLeod,91.8025
15801,1,Karen Van Der Vinne,80.9114
18991,1,Mariana Gobbet,22.8594
15771,5,Maria Fernanda Perozin Cardoso Xavier,59.0506
4372,4,Sheila Sororian,68.837
14255,1,Penny Gailor,1.0167
16177,7,Zoe Carter,8.1232
1483,49,Christine Tensley,99.4951
14036,1,Nathalia Luzia,16.0989
18912,5,Melody Honaker,94.6489
12788,6,Radhiah Nor,79.5236
7379,9,Miriam Villar,88.1483
5321,2,Casey Baker,30.7038
7765,9,Sarianna Kalapudas,90.3319
4400,4,Katie Sivell,75.1297
11450,8,Natalie Gregory,75.4568
18471,3,Oya Fernandez,90.5338
4036,9,Mallory LaBarre,80.5084
14029,7,Sarah Creekmore,95.9556
6017,14,Paige Watson,81.8487
16820,29,Victoria Caruso,99.5641
1752,15,Deanna Oliver,92.575
13279,2,Abby Lackey,94.0267
15089,17,Yulya Solovyeva,93.886
14252,26,Brittney Gadoury,81.8375
6827,30,Melva Byington,95.9297
12776,10,Nicola Nunns,94.2329
11187,3,Lena Hirschmann,93.5796
8866,7,Federica Scarpari,85.9552
13027,1,Li Jett,77.7068
11832,23,Laura Landon,90.9386
5046,16,Julie Webb,89.7363
18736,5,Julie Caroline Salicath,78.0667
18381,2,Vanessa Barthels,68.5487
12015,9,Amanda Merrison,94.1872
3124,24,Jennifer Yantis,9.6233
1812,5,Heidi Platow,92.1745
2041,1,Tessa Marquette,98.7261
16095,27,Tiffany Garrigus,96.9136
8460,4,Arielle Cox,95.1469
3325,16,Lucy Clark,98.9634
13403,4,Elena Müller,58.4819
2571,12,Amy Aldrich-Witt,97.3374
16621,17,Danielle Carozza,94.7983
12906,11,Casie Falk,72.0977
1805,5,Marisa Hom,88.6497
20579,5,Adriana Taveras,89.07
14178,16,Celina Emanuel,92.9219
18548,12,Megan Hodge,8.2363
13448,10,Tatiana Vasilyeva,76.0463
17793,8,Marina Gidcumb,94.9105
9802,1,Kamila Stasiniewska,2.4011
4926,28,Joanna Wood,9.7838
3037,18,Madison Mattioli,88.5323
12197,4,Anne-Sophie Fliegel,77.5074
13482,3,Fernanda Cunha,97.2692
13833,16,Kirsten Mckessar,94.1156
4767,2,Angelika Baker,79.7506
13303,8,Shira Oktan,71.5056
17997,10,Georgina Roberts,93.0298
20704,17,Natalia Stashkevich,97.9321
19970,13,Arielle Hunter,91.4625
17685,3,Kaori Yamada,44.7236
964,15,Julia Shaw,99.6177
18470,10,Alexis Dailey,97.0008
3834,14,Tina Tursic,94.6973
6312,8,Sarah Lange,96.1498
20640,9,Emily Perry,9.5119
17205,19,Olivia Partington,92.2013
29,7,Arantxa Gonzalez,86.5343
15843,9,Gabriella Nemeth,90.5882
8941,12,Irene Kirchsteiger,90.7988
5070,26,Caz Read,91.3624
7531,7,April Cotthoff,72.8322
17324,5,Lauren Oxley,80.4333
11325,27,Sana Leandra,94.8423
3828,32,Lindsay Winn,99.2474
2225,9,Audrey Lucas,83.4316
18656,10,Jessica Baier,93.3794
17360,13,Mindy Valdez,92.7139
626,15,Siobhan Higgins,8.2216
15342,25,Kimberlee DeKrey,99.8472
12077,5,Mirte Gerritsen,49.02
10563,5,Ulrike Glöckner,99.3277
12611,18,Emmily Butz,97.0733
19740,3,Emy Pereira,84.8185
2554,6,Dominique Riendeau,58.0866
5306,3,Melissa Nazario,83.2236
3939,3,Kristen Kostun,79.2862
8673,25,Kimberly Carlson,85.6152
16194,3,Lene Austreng,32.9124
18980,9,Kimberly Mark,91.1578
9833,2,Catrin Olsson,94.781
15576,12,Krystle Patenaude,9.77
3756,3,Ashley Bell,86.2133
12009,35,Lindsey Phillips,98.5241
4843,9,Michelle Carpino,96.2171
16719,2,Larae Polson,88.3761
7124,14,Chelsey Miller,88.5591
19590,3,Solange Raposo,87.9912
12275,18,Marcela Gonzaga,88.8767
14363,3,Ingrid Svilans,55.0624
14987,14,Lanie Osborne,84.4526
8259,14,Kortney Dwyer,98.0814
14676,7,Leigh-Marie Rand,88.2898
3636,4,Marisa Bast,94.4763
274,16,Mary-Ann Rowlston,9.3747
8277,9,Celene Steele,99.7721
7443,12,Rachel Kenney,96.4692
16355,5,Katie Smith,75.4956
2360,14,Keiko Itakura,9.7864
18235,15,Amie Chambers,83.2037
9489,24,Chastity Flores,96.4182
5193,15,Tausha Porter,98.1375
11542,16,Kristin Kaschak,86.5766
18285,12,Linda Elstun,92.4921
9002,2,Jessica Jarosz,72.5042
125,1,Sabrina Tamraz,88.9915
12490,21,Hayley Minyard,9.0441
16666,17,Brooke Rowland,98.3748
8811,4,Julie Gerbino,45.8145
14635,4,Valeria Fontán,99.2742
19203,3,Miriam Zambrana Segalés,76.3207
705,7,Kelley Wohlfahrt,91.0025
9483,19,Amber Lizarraga,80.5273
16952,9,Helle Hjort Petersen,69.8382
16705,1,Andrea Roca,88.7309
