Affiliate_id,Count,Name,Overall_percentile
13668,45,Victor Glasoff,92.0336
16969,12,Tony Howard,90.3721
8013,28,Shane Harper,67.1001
7384,17,Tyler Underwood,99.244
16741,2,Gregory Luz,63.9857
10733,30,Yann-Alexandre Belley,94.3846
18322,5,Sergio Vasques,78.9616
11899,1,Michael Pogatschnigg,82.5763
445,8,Darko Tasevski,94.5877
15424,12,Jon White,90.5119
18583,2,Marco Frullone,75.3367
6293,20,Graham Bird,92.7412
1222,16,Robert Huston,95.3565
11505,29,Andrew Gembecki,93.8146
13743,17,Sandro Leite,84.72
6669,12,Frank Meola,98.0993
677,17,Luke Hedlund,89.3492
18194,7,Steeve Ardes,76.8211
19866,10,Kevin Winkens,99.8214
20596,2,Salmon Taaroa,97.037
2908,20,Ryan Slagle,98.9207
19291,6,Mauro Lucena,72.4295
16903,20,Luccas Diniz,92.3153
2267,10,John van Loenen,95.3389
6911,22,Tyler Brungardt,97.6873
17849,10,Keith Yungel,75.9975
9659,15,Karl Larsson,94.644
16625,9,Jose Otero,90.7432
16480,3,Michael Obermeier,87.8068
1516,15,Stephen Clegg,98.6092
16976,5,Connor Hamilton,73.8252
579,16,Scott Tasaka,94.7381
6862,2,Joe Pawlikowski,57.5914
4946,1,Jose Lorenzo Martin Kriger,18.2897
20394,11,Ryan Baxter,93.2489
12858,19,Christian Sicheri,66.4228
19400,10,Ivan Riballo,97.0562
14553,13,Zach Galloway,99.5013
14271,10,Jeffry Ruvalcaba,89.539
18820,4,Przemyslaw Bubinski,89.9526
6687,12,Henrique Casagrande,82.4875
5730,15,Brian Wolfe,97.6447
13643,12,Gael Cortes,94.1007
20621,22,Patrice Gerboin,9.3488
16143,9,Hong Soonyong,76.3809
5175,20,Justin Kauffman,88.7
15948,16,Anuj Chauhan,9.453
20610,4,Daniel Costa,6.1779
6737,24,David Levey,99.5396
7604,2,Daniel Kroboth,71.4662
12917,10,Lex Wood,90.9548
5372,47,Joey Siela,99.7655
15127,4,Ryan Teesdale,76.7041
17501,11,Jake Evans,93.3191
