,Name,Division,OverallScore,Rank,Wk1_Score,Wk1_Rank,Wk2_Score,Wk2_Rank,Wk3_Score,Wk3_Rank,Wk4_Score,Wk4_Rank,Wk5_Score,Wk5_Rank
54548,Seth Talbot,I-Men,41409,6629,107,7645,60,8355,260,10932,242,7711,95,6766
13994,Matthew Foster,I-Men,41421,6630,91,20344,66,4082,280,7715,246,5029,102,4251
38421,Truman Barrett,I-Men,41438,6631,96,16352,61,7203,291,6450,249,3512,91,7921
6831,Justin Hill,I-Men,41448,6632,142,28,45,20147,279,7817,242,7711,98,5745
18784,Jeffrey Gallagher,I-Men,41456,6633,109,6535,60,8355,259,11068,245,5614,86,9884
19190,Carlos Ramirez,I-Men,41476,6634,95,17102,61,7203,308,4747,241,8479,103,3945
25088,Nick Hansen,I-Men,41481,6635,94,17917,80,566,303,5262,240,9487,90,8249
12033,Keith Krystofiak,I-Men,41482,6636,102,11497,60,8355,283,7411,244,6298,91,7921
21324,Ben Pommee,I-Men,41493,6637,117,2849,47,19285,274,8672,250,3017,92,7670
22988,Jonathan Millard,I-Men,41496,6638,131,326,37,23210,315,4001,247,4447,87,9512
7434,David Douthwaite,I-Men,41510,6639,106,8256,56,15225,336,2747,244,6298,89,8984
21120,Travis Macek,I-Men,41514,6640,98,15023,60,8355,311,4398,240,9487,102,4251
42517,Josh Dorrell,I-Men,41515,6641,102,11497,60,8355,261,10798,247,4447,96,6418
37127,Cameron Swift,I-Men,41519,6642,97,15652,60,8355,297,5901,243,6980,101,4631
35064,Nick Kakavitsas,I-Men,41523,6643,91,20344,71,2243,293,6251,242,7711,100,4974
2331,Pascal Bollmann,I-Men,41527,6644,107,7645,60,8355,325,3303,177,17973,102,4251
4718,Brian Gresham,I-Men,41528,6645,105,8971,60,8355,274,8672,244,6298,88,9232
21689,michael horton,I-Men,41529,6646,117,2849,48,18838,249,12591,252,2277,100,4974
21053,Douglas Acker,I-Men,41531,6647,90,21273,68,3235,290,6542,242,7711,108,2770
54820,Jeff McKinney,I-Men,41538,6648,111,5359,52,17049,268,9709,247,4447,100,4974
4720,Michael Jones,I-Men,41541,6649,97,15652,61,7203,288,6732,243,6980,100,4974
3067,Chris Morrissey,I-Men,41550,6650,108,7025,46,19713,313,4224,245,5614,100,4974
37520,Dan Olmstead,I-Men,41551,6651,100,13376,60,8355,313,4224,241,8479,94,7117
12971,Christopher Ressa,I-Men,41554,6652,103,10636,63,5697,292,6352,235,13124,98,5745
54347,Ricardo Monzon,I-Men,41561,6653,103,10636,60,8355,252,12021,244,6298,102,4251
11181,Anthony Spinello,I-Men,41562,6654,107,7645,62,6415,282,7530,209,14998,100,4974
49275,Darren Darsey,I-Men,41565,6655,111,5359,57,14755,299,5720,248,3936,81,11795
5275,Ryan Becher,I-Men,41570,6656,101,12397,60,8355,274,8672,246,5029,94,7117
58624,Ryan Duncan,I-Men,41573,6657,104,9828,60,8355,275,8493,241,8479,96,6418
2427,Kevin Kerchansky,I-Men,41578,6658,115,3545,47,19285,351,1840,240,9487,93,7421
22899,Chris Shatzel,I-Men,41581,6659,103,10636,60,8355,275,8493,243,6980,94,7117
17977,Justin Waldon,I-Men,41584,6660,118,2545,60,8355,270,9432,181,17568,104,3684
29120,Tim Keefe,I-Men,41586,6661,103,10636,60,8355,273,8857,240,9487,102,4251
62925,Paul Watson,I-Men,41586,6661,109,6535,56,15225,290,6542,245,5614,92,7670
